Shot,Mat,cGANsim,cGAN_largesim,LF_LRsim
1,1,0.139759124,0.204953795,0.176643239
1,2,0.14709223,0.169758121,0.222644822
1,3,0.17739444,0.183960449,0.162171609
1,4,0.082298388,0.089475335,0.153562533
1,5,0.179122621,0.155053256,0.187626472
1,6,0.142230087,0.198654757,0.177528568
1,7,0.126611406,0.047782814,0.101541476
1,8,0.132834065,0.129065736,0.128734859
2,1,0.119896294,0.244121986,0.241358863
2,2,0.19014896,0.198233619,0.29258776
2,3,0.157321119,0.251122635,0.12357792
2,4,0.121466115,0.184171471,0.154898838
2,5,0.172485422,0.142702261,0.187699854
2,6,0.191495799,0.195132831,0.180183658
2,7,0.147922139,0.104749745,0.140285315
2,8,0.153927033,0.143596412,0.170419141
4,1,0.152361309,0.221323846,0.259410926
4,2,0.185802695,0.169782861,0.232826524
4,3,0.106011719,0.155541485,0.178414509
4,4,0.145969139,0.184627095,0.147155091
4,5,0.134317873,0.132467366,0.129756444
4,6,0.104943627,0.178151286,0.123005298
4,7,0.118252388,0.136225659,0.17698533
4,8,0.183557886,0.168337642,0.15096576
5,1,0.145492324,0.247670427,0.212811523
5,2,0.187551617,0.19345777,0.27240165
5,3,0.165576878,0.257072756,0.144242968
5,4,0.094256686,0.133034414,0.094858172
5,5,0.16544241,0.138430014,0.13030328
5,6,0.128374482,0.166341703,0.135300219
5,7,0.162620867,0.093239978,0.171999222
5,8,0.136697513,0.102846307,0.174252826
6,1,0.138723719,0.254158467,0.224153761
6,2,0.173732852,0.237071395,0.294546825
6,3,0.171538665,0.210031566,0.123323963
6,4,0.120612131,0.182589109,0.148707385
6,5,0.181540808,0.083456268,0.145597297
6,6,0.171712844,0.176169193,0.106823045
6,7,0.159417788,0.128114844,0.169160825
6,8,0.162754944,0.11093503,0.131009036
7,1,0.171452945,0.208131121,0.191462547
7,2,0.169803791,0.122793092,0.18842128
7,3,0.092795851,0.227828227,0.213403024
7,4,0.199285642,0.227153953,0.231224385
7,5,0.165944065,0.161835352,0.186583888
7,6,0.100795288,0.148241807,0.139979273
7,7,0.188006292,0.108573353,0.143851233
7,8,0.181554255,0.195094926,0.125109499
8,1,0.114131901,0.102360638,0.124274854
8,2,0.13660136,0.10517206,0.110256617
8,3,0.112128553,0.085073051,0.131668115
8,4,0.146296981,0.079864941,0.146031699
8,5,0.114094304,0.09453609,0.133301373
8,6,0.143453876,0.114758702,0.126083657
8,7,0.130297347,0.100831536,0.120250857
8,8,0.104491117,0.075558605,0.122492688
9,1,0.115060969,0.088703436,0.113959515
9,2,0.102666395,0.125472784,0.11780631
9,3,0.156503826,0.254268563,0.155635975
9,4,0.176091509,0.119571707,0.113262335
9,5,0.109431308,0.159644657,0.233277017
9,6,0.136712495,0.219828818,0.283150837
9,7,0.199670001,0.176976103,0.136606264
9,8,0.113032635,0.160042646,0.159119838
10,1,0.202903994,0.16753067,0.192369584
10,2,0.143690452,0.108409588,0.133786518
10,3,0.153184962,0.264178954,0.2885127
10,4,0.192117749,0.223861671,0.217430182
10,5,0.103854299,0.173851649,0.130794226
10,6,0.095638604,0.197082268,0.174639726
10,7,0.186062843,0.172824237,0.133497842
10,8,0.179199316,0.222976462,0.249937351
11,1,0.195478603,0.146998986,0.180175818
11,2,0.132202488,0.075042448,0.116849691
11,3,0.164947732,0.226655374,0.259714936
11,4,0.193667024,0.18756676,0.157632173
11,5,0.116993201,0.162013003,0.133636221
11,6,0.10499913,0.19877667,0.16889999
11,7,0.168127993,0.10680809,0.159756338
11,8,0.196861443,0.178376884,0.177691871
12,1,0.196062124,0.162715706,0.200362596
12,2,0.140599789,0.096504805,0.12350917
12,3,0.156104853,0.287931154,0.335303776
12,4,0.1816339,0.184028806,0.19564088
12,5,0.110768826,0.174386385,0.171355125
12,6,0.109412281,0.184287347,0.161416431
12,7,0.183229585,0.138241778,0.198004364
12,8,0.187418805,0.194832072,0.175524095
13,1,0.119310379,0.204293579,0.209989885
13,2,0.157261289,0.089578055,0.190039963
13,3,0.15183665,0.237652232,0.251781486
13,4,0.202535041,0.203257,0.215083536
13,5,0.145498727,0.169651826,0.123771911
13,6,0.09932135,0.208349113,0.178591118
13,7,0.218497502,0.169101489,0.183656497
13,8,0.17367862,0.13310064,0.165078124
14,1,0.202122931,0.171314326,0.205163192
14,2,0.184841215,0.112028919,0.145709338
14,3,0.135059775,0.26203343,0.259117707
14,4,0.112987315,0.194238025,0.199103276
14,5,0.097456757,0.16089094,0.118019914
14,6,0.110514736,0.148442141,0.180049506
14,7,0.156149099,0.12853423,0.122315721
14,8,0.159129917,0.096301693,0.141312342
15,1,0.134912166,0.127645369,0.141094748
15,2,0.13494409,0.105355958,0.139186192
15,3,0.163392653,0.202351823,0.199417952
15,4,0.141596166,0.171984832,0.145877473
15,5,0.128075761,0.151456325,0.127197538
15,6,0.122221869,0.197953599,0.161811515
15,7,0.065006789,0.086763535,0.122301765
15,8,0.07986126,0.14323773,0.120147656
16,1,0.196411997,0.21274622,0.265137693
16,2,0.174424215,0.131496025,0.145039868
16,3,0.126894125,0.249123654,0.21512609
16,4,0.181851589,0.215306313,0.196898468
16,5,0.122261447,0.141448304,0.107916844
16,6,0.104498507,0.181340358,0.19755808
16,7,0.178198405,0.149063159,0.126500879
16,8,0.16944814,0.168116767,0.220779189
17,1,0.120607364,0.077094705,0.113828565
17,2,0.133062486,0.112021838,0.125014966
17,3,0.125403216,0.079801726,0.130988486
17,4,0.120970001,0.087488518,0.140471698
17,5,0.114117524,0.073571053,0.122309955
17,6,0.11040536,0.088741726,0.129898567
17,7,0.125662219,0.07493405,0.136291479
17,8,0.117194977,0.080797472,0.13285516
18,1,0.165022447,0.218745757,0.235131406
18,2,0.188286501,0.114033201,0.178497844
18,3,0.109903812,0.206797337,0.174438412
18,4,0.17278038,0.189384893,0.232669559
18,5,0.165679979,0.182300588,0.188282719
18,6,0.094558399,0.198686594,0.164849921
18,7,0.187614263,0.139488569,0.149276662
18,8,0.14180042,0.155221212,0.118162192
19,1,0.200292742,0.235648818,0.22251546
19,2,0.173481835,0.107731082,0.174969202
19,3,0.134797397,0.235984264,0.143837741
19,4,0.174132667,0.180316878,0.179221066
19,5,0.145967119,0.179633812,0.164862157
19,6,0.084871326,0.205752507,0.17346906
19,7,0.139422072,0.1171699,0.122028463
19,8,0.171720949,0.188183348,0.197573746
20,1,0.182199869,0.190490669,0.18353987
20,2,0.141725425,0.087446889,0.146500085
20,3,0.128841322,0.263534701,0.267157663
20,4,0.177264675,0.173989495,0.223943698
20,5,0.161211872,0.230415484,0.141507336
20,6,0.076723609,0.196727875,0.218041814
20,7,0.166698166,0.163715402,0.124969286
20,8,0.203963336,0.195185037,0.169990642
21,1,0.116445166,0.148876786,0.145451517
21,2,0.147724336,0.066975413,0.157813651
21,3,0.158359792,0.219262102,0.21664018
21,4,0.192011469,0.177724139,0.206755436
21,5,0.144552202,0.257465096,0.202578659
21,6,0.108548061,0.177371353,0.186530722
21,7,0.097337838,0.126289845,0.112061964
21,8,0.170060285,0.19419178,0.182818131
22,1,0.095481882,0.079737109,0.134313964
22,2,0.117453765,0.10691113,0.135537197
22,3,0.095570802,0.141413065,0.155832889
22,4,0.142413419,0.135869373,0.117519174
22,5,0.119182302,0.158603769,0.187657709
22,6,0.125167926,0.198587222,0.185440866
22,7,0.166222275,0.192480017,0.160025545
22,8,0.159089111,0.121147593,0.116811629
24,1,0.173848765,0.176731743,0.191316759
24,2,0.171669971,0.089161936,0.151050989
24,3,0.148933039,0.277409554,0.297105598
24,4,0.181877194,0.197248436,0.213162813
24,5,0.129332229,0.272112266,0.188113225
24,6,0.072219067,0.204659398,0.183356038
24,7,0.165181916,0.164170935,0.198092666
24,8,0.116524552,0.18325122,0.202511764
25,1,0.167241056,0.161470821,0.202021662
25,2,0.137844309,0.082523949,0.168605392
25,3,0.185334799,0.243396043,0.253932344
25,4,0.185253808,0.154747844,0.211214092
25,5,0.11634047,0.232509176,0.171702697
25,6,0.084769473,0.204219045,0.176351001
25,7,0.123998211,0.121564911,0.099581963
25,8,0.104616237,0.192939881,0.167743019
26,1,0.084927051,0.198063147,0.190014178
26,2,0.173742812,0.110398615,0.151832871
26,3,0.129157953,0.246235707,0.193033836
26,4,0.193247249,0.214056312,0.223286533
26,5,0.126176005,0.186427922,0.128079413
26,6,0.089360942,0.157387823,0.183427732
26,7,0.135695282,0.127139368,0.12429295
26,8,0.144861892,0.160218885,0.168457345
27,1,0.117025501,0.081091238,0.124114219
27,2,0.116474763,0.124082357,0.126827976
27,3,0.132513952,0.099698531,0.126106038
27,4,0.123049201,0.073247186,0.126070255
27,5,0.127799674,0.086857435,0.13354987
27,6,0.134622913,0.073546047,0.121813841
27,7,0.11809177,0.077913041,0.12097022
27,8,0.114641061,0.100891372,0.134476043
28,1,0.14259056,0.076391846,0.126325282
28,2,0.140562041,0.091284743,0.133990378
28,3,0.113452851,0.157612767,0.114591799
28,4,0.151296035,0.09593894,0.134185302
28,5,0.152013149,0.17015466,0.151424255
28,6,0.128714627,0.145906737,0.191948119
28,7,0.195768959,0.185890985,0.170545362
28,8,0.201452063,0.19778764,0.171680863
29,1,0.145956693,0.209828893,0.185646226
29,2,0.167859287,0.123807315,0.146786684
29,3,0.171860547,0.257067662,0.198061949
29,4,0.241787896,0.202268894,0.236706773
29,5,0.159717334,0.177832846,0.179039318
29,6,0.096424264,0.171845972,0.162655483
29,7,0.157661432,0.129098418,0.093020427
29,8,0.167943039,0.12495702,0.159019837
30,1,0.13077841,0.106322217,0.126578009
30,2,0.110449303,0.082665027,0.119537763
30,3,0.128892203,0.170933464,0.103648578
30,4,0.124835354,0.103049644,0.118307942
30,5,0.132910539,0.152031487,0.167758177
30,6,0.130943683,0.157322078,0.218200777
30,7,0.215658024,0.235244536,0.22872866
30,8,0.183423481,0.228677841,0.202677751
31,1,0.132694799,0.092243757,0.146437677
31,2,0.139221093,0.110862769,0.120835905
31,3,0.103199469,0.133188274,0.099904539
31,4,0.140075103,0.128199334,0.111674107
31,5,0.144811792,0.175965547,0.178614968
31,6,0.144402795,0.156466843,0.200646358
31,7,0.218080346,0.159243777,0.171727772
31,8,0.188392158,0.200595871,0.237714449
32,1,0.158815617,0.20279841,0.173458899
32,2,0.168359033,0.132796108,0.142831668
32,3,0.152716884,0.248697096,0.179147942
32,4,0.227147172,0.222294743,0.251276663
32,5,0.13541009,0.206212325,0.206778852
32,6,0.112116206,0.200377304,0.190341745
32,7,0.168393078,0.16137122,0.156737228
32,8,0.184776333,0.16266136,0.16916074
33,1,0.126848052,0.10702493,0.106105017
33,2,0.127171387,0.080917093,0.140938969
33,3,0.119719986,0.159938196,0.130467717
33,4,0.132073901,0.102606729,0.121173009
33,5,0.158085452,0.193576113,0.206474351
33,6,0.141346917,0.208281149,0.145247786
33,7,0.240669951,0.229954509,0.187169218
33,8,0.221162234,0.235973189,0.209615677
34,1,0.164687517,0.219982653,0.221680281
34,2,0.202348772,0.118994184,0.180063955
34,3,0.137694139,0.251720056,0.174315869
34,4,0.219823211,0.258244109,0.232494735
